tag,backend,n_utterances,overall_wer,overall_mer,sp_wer,sp_mer,sp_n
a2_es-en_100_nopause,whisper,100,0.3063,0.3,,,
a2_es-en_100_nopause_cpu,whisper,100,0.317,0.3076,0.4257,0.4177,
a2_es-en_100_pause05,whisper,100,0.2991,0.293,,,
a2_es-en_100_pause05_cpu,whisper,100,0.3008,0.2943,0.4076,0.3992,
a2_smoke_nopause,whisper,10,0.4582,0.4527,,,
a2_smoke_pause05,whisper,10,0.3693,0.3605,,,
a3_en-es-en_100_pause05_cpu,whisper,100,0.221,0.2123,0.3385,0.3322,
a3_es-en-es_100_pause05_cpu,whisper,100,0.2425,0.2294,0.588,0.5748,
bench_cpu_largev3_1,whisper,1,0.3659,0.3659,0.6,0.6,
bench_cpu_largev3_1_real,whisper,1,0.3659,0.3659,0.6,0.6,
bench_gpu_largev3_1,whisper,1,0.3659,0.3659,0.6,0.6,
bilingual_en-es_100_seg,whisper,100,0.0348,0.0345,,,
bilingual_en-es_50,whisper,50,0.0547,0.0535,,,
bilingual_en-es_50_seg,whisper,50,0.0627,0.0608,,,
bilingual_es-en_100_seg,whisper,100,0.0385,0.0381,,,
bilingual_es-en_50,whisper,50,0.0436,0.043,,,
bilingual_es-en_50_seg,whisper,50,0.0471,0.0463,,,
bilingual_smoke_v1,whisper,10,0.0383,0.0381,,,
bilingual_v1_50,whisper,50,0.0411,0.0407,,,
en_regress_l3,whisper,50,0.0205,0.0204,,,
en_smoke,whisper,10,0.0595,0.0592,,,
es_mls_smoke,whisper,10,0.1188,0.1171,,,
es_mls_test,whisper,100,0.1323,0.1309,,,
preproc_normalize_10,whisper,10,0.3467,0.3461,0.48,0.4752,
preproc_normalize_20,whisper,20,0.2647,0.2642,0.395,0.3911,
preproc_preemphasis_10,whisper,10,0.4564,0.4486,0.52,0.5149,
preproc_raw_10,whisper,10,0.3693,0.3605,0.44,0.4314,
preproc_raw_20,whisper,20,0.2837,0.2798,0.375,0.3713,
readme_smoke,whisper,1,0.0,0.0,0.0,0.0,
smoke_cpu,whisper,1,0.0732,0.0732,0.0,0.0,
wx_smoke_cpu,whisperx,1,0.0976,0.0952,0.1,0.1,
